condition,sex,subject,leg,fibre_area,circularity
Condition A,F,38,Right,1117.571,0.758407688
Condition A,F,38,Right,848.483,0.918873178
Condition A,F,38,Right,760.99,0.820628894
Condition A,F,38,Right,1467.541,0.902062675
Condition A,F,38,Right,847.316,0.874501905
Condition A,F,38,Right,855.093,0.879035653
Condition A,F,38,Right,1670.523,0.944950076
Condition A,F,38,Right,834.095,0.908005875
Condition A,F,38,Right,1260.281,0.707990978
Condition A,F,38,Right,564.618,0.839458946
Condition A,F,38,Right,1756.849,0.690807091
Condition A,F,38,Right,1489.316,0.778477333
Condition A,F,38,Right,913.81,0.850990673
Condition A,F,38,Right,1194.953,0.858622952
Condition A,F,38,Right,1361.383,0.885709929
Condition A,F,38,Right,697.218,0.829434745
Condition A,F,38,Right,1047.577,0.840871317
Condition A,F,38,Right,1276.224,0.875582938
Condition A,F,38,Right,1347.773,0.773301882
Condition A,F,38,Right,877.258,0.880604013
Condition A,F,38,Right,1174.732,0.930357501
Condition A,F,38,Right,1234.227,0.891326169
Condition A,F,38,Right,862.481,0.873545188
Condition A,F,38,Right,903.311,0.954550577
Condition A,F,38,Right,1110.96,0.765907761
Condition A,F,38,Right,816.596,0.816263503
Condition A,F,38,Right,1184.065,0.850169332
Condition A,F,38,Right,963.195,0.936559782
Condition A,F,38,Right,1187.565,0.851806457
Condition A,F,38,Right,744.269,0.856615326
Condition A,F,38,Right,890.479,0.953857779
Condition A,F,38,Right,661.832,0.891213123
Condition A,F,38,Right,933.253,0.779568466
Condition A,F,38,Right,1126.514,0.802610425
Condition A,F,38,Right,874.536,0.886821379
Condition A,F,38,Right,944.919,0.848485011
Condition A,F,38,Right,1453.542,0.909338504
Condition A,F,38,Right,1124.57,0.84038392
Condition A,F,38,Right,897.09,0.888354077
Condition A,F,38,Right,1149.457,0.868062039
Condition A,F,38,Right,1622.305,0.802068134
Condition A,F,38,Right,1307.332,0.843610426
Condition A,F,38,Right,981.082,0.839773812
Condition A,F,38,Right,928.198,0.905698652
Condition A,F,38,Right,872.592,0.831031958
Condition A,F,38,Right,988.471,0.853974231
Condition A,F,38,Right,950.752,0.78064699
Condition A,F,38,Right,1033.189,0.864992775
Condition A,F,38,Right,886.202,0.929383779
Condition A,F,38,Right,1200.786,0.916933833
Condition A,F,38,Right,1144.79,0.88400151
Condition A,F,38,Right,682.83,0.900891132
Condition A,F,38,Right,1836.564,0.878255782
Condition A,F,38,Right,1258.725,0.865187603
Condition A,F,38,Right,1450.042,0.896779862
Condition A,F,38,Right,1025.801,0.905567948
Condition A,F,38,Right,1436.432,0.799723548
Condition A,F,38,Right,956.584,0.899600283
Condition A,F,38,Right,1081.407,0.896907685
Condition A,F,38,Right,590.671,0.863796313
Condition A,F,38,Right,1009.469,0.896884293
Condition A,F,38,Right,652.111,0.807175786
Condition A,F,38,Right,1127.681,0.894172997
Condition A,F,38,Right,627.613,0.821411782
Condition A,F,38,Right,1139.347,0.842967694
Condition A,F,38,Right,731.826,0.910140775
Condition A,F,38,Right,622.946,0.942035803
Condition A,F,38,Right,509.79,0.908207145
Condition A,F,38,Right,788.21,0.886554536
